;url;title;platform
41;https://www.liputan6.com/hot/read/5825700/barang-mewah-yang-akan-dikenakan-ppn-12-mulai-2025-apa-saja-yang-termasuk;Barang Mewah yang Akan Dikenakan PPN 12% Mulai 2025, Apa Saja yang Termasuk?;liputan6.com
42;https://www.liputan6.com/news/read/5826029/5-respons-dpr-ri-terkait-kenaikan-ppn-12-persen-sebut-hanya-untuk-barang-mewah;5 Respons DPR RI Terkait Kenaikan PPN 12 Persen, Sebut Hanya untuk Barang Mewah;liputan6.com
43;https://www.liputan6.com/bisnis/read/5825318/benarkah-kenaikan-ppn-12-hanya-dirasakan-orang-kaya;Benarkah Kenaikan PPN 12% Hanya Dirasakan Orang Kaya?;liputan6.com
44;https://www.liputan6.com/news/read/5823151/ppn-naik-12-persen-di-2025-tenaga-ahli-dpr-hanya-berlaku-untuk-barang-mewah;PPN Naik 12 Persen di 2025, Tenaga Ahli DPR: Hanya Berlaku untuk Barang Mewah;liputan6.com
45;https://www.liputan6.com/bisnis/read/5821570/ppn-12-persen-cuma-untuk-barang-mewah-luhut-buka-suara;PPN 12 Persen Cuma untuk Barang Mewah, Luhut Buka Suara;liputan6.com
46;https://www.liputan6.com/bisnis/read/5821540/pemerintah-kaji-ppn-tak-1-tarif-ini-bocorannya;Pemerintah Kaji PPN Tak 1 Tarif, Ini Bocorannya;liputan6.com
47;https://www.liputan6.com/bisnis/read/5821426/pengumuman-ppn-12-hanya-untuk-barang-mewah;Pengumuman! PPN 12% Hanya untuk Barang Mewah;liputan6.com
48;https://www.liputan6.com/news/read/5820370/dasco-ppn-12-persen-dikenakan-hanya-kepada-barang-mewah;Dasco: PPN 12 Persen Dikenakan Hanya kepada Barang Mewah;liputan6.com
49;https://www.liputan6.com/bisnis/read/5819087/nasib-digantung-kenaikan-ppn-pengusaha-umkm-tunggu-sri-mulyani-buka-suara;Nasib Digantung Kenaikan PPN, Pengusaha UMKM Tunggu Sri Mulyani Buka Suara;liputan6.com
50;https://www.liputan6.com/news/read/5819060/polemik-kenaikan-pajak-12-persen-pemerintah-diminta-siapkan-skema-perlindungan-kalangan-menengah;Polemik Kenaikan Pajak 12 Persen, Pemerintah Diminta Siapkan Skema Perlindungan Kalangan M...;liputan6.com
51;https://www.liputan6.com/bisnis/read/5818200/kepastian-ppn-12-diumumkan-pekan-depan;Kepastian PPN 12% Diumumkan Pekan Depan;liputan6.com
52;https://www.liputan6.com/bisnis/read/5817525/menengok-prospek-ekonomi-2025-di-tengah-rencana-kenaikan-ppn;Menengok Prospek Ekonomi 2025 di Tengah Rencana Kenaikan PPN;liputan6.com
53;https://www.liputan6.com/bisnis/read/5817432/bantah-luhut-kemenkeu-pastikan-ppn-12-berlaku-1-januari-2025;Bantah Luhut, Kemenkeu Pastikan PPN 12% Berlaku 1 Januari 2025;liputan6.com
54;https://www.liputan6.com/bisnis/read/5814853/membedah-tarik-ulur-penerapan-ppn-12-per-1-januari-2025;Membedah Tarik Ulur Penerapan PPN 12% per 1 Januari 2025;liputan6.com
55;https://www.liputan6.com/bisnis/read/5814752/luhut-minta-kebijakan-ppn-12-diundur-sri-mulyani-cs-galau;Luhut Minta Kebijakan PPN 12% Diundur, Sri Mulyani Cs Galau;liputan6.com
56;https://www.liputan6.com/news/read/5812388/pb-hmi-tuntut-kenaikan-ppn-12-dibatalkan-bebani-masyarakat-kecil;PB HMI Tuntut Kenaikan PPN 12% Dibatalkan: Bebani Masyarakat Kecil;liputan6.com
57;https://enamplus.liputan6.com/bisnis/read/5812032/tarik-ulur-rencana-kenaikan-ppn-12-persen-di-januari-2025;Tarik Ulur Rencana Kenaikan PPN 12 Persen di Januari 2025;liputan6.com
58;https://enamplus.liputan6.com/bisnis/read/5812026/tarik-ulur-kenaikan-ppn-12-di-2025;Tarik Ulur Kenaikan PPN 12% Di 2025;liputan6.com
59;https://www.liputan6.com/bisnis/read/5811963/arsjad-rasjid-minta-pemerintah-tunda-rencana-ppn-12;Arsjad Rasjid Minta Pemerintah Tunda Rencana PPN 12%;liputan6.com
60;https://www.liputan6.com/bisnis/read/5810753/pengusaha-belum-lihat-dampak-positif-kenaikan-ppn-jadi-12;Pengusaha Belum Lihat Dampak Positif Kenaikan PPN jadi 12%;liputan6.com
